time,Cache:adminBytes,Cache:avgBatchCACHEMODE,Cache:avgBatchCRITICAL,Cache:avgBatchDAEMON,Cache:avgBatchEVICTORTHREAD,Cache:avgBatchMANUAL,Cache:cacheTotalBytes,Cache:dataAdminBytes,Cache:dataBytes,Cache:lockBytes,Cache:nBINDeltasFetchMiss,Cache:nBINsEvictedCACHEMODE,Cache:nBINsEvictedCRITICAL,Cache:nBINsEvictedDAEMON,Cache:nBINsEvictedEVICTORTHREAD,Cache:nBINsEvictedMANUAL,Cache:nBINsFetch,Cache:nBINsFetchMiss,Cache:nBINsMutated,Cache:nBINsStripped,Cache:nBatchesCACHEMODE,Cache:nBatchesCRITICAL,Cache:nBatchesDAEMON,Cache:nBatchesEVICTORTHREAD,Cache:nBatchesMANUAL,Cache:nCachedBINDeltas,Cache:nCachedBINs,Cache:nCachedUpperINs,Cache:nEvictPasses,Cache:nINCompactKey,Cache:nINNoTarget,Cache:nINSparseTarget,Cache:nLNsFetch,Cache:nLNsFetchMiss,Cache:nNodesEvicted,Cache:nNodesScanned,Cache:nNodesSelected,Cache:nRootNodesEvicted,Cache:nSharedCacheEnvironments,Cache:nThreadUnavailable,Cache:nUpperINsEvictedCACHEMODE,Cache:nUpperINsEvictedCRITICAL,Cache:nUpperINsEvictedDAEMON,Cache:nUpperINsEvictedEVICTORTHREAD,Cache:nUpperINsEvictedMANUAL,Cache:nUpperINsFetch,Cache:nUpperINsFetchMiss,Cache:requiredEvictBytes,Cache:sharedCacheTotalBytes,Checkpoints:lastCheckpointEnd,Checkpoints:lastCheckpointId,Checkpoints:lastCheckpointInterval,Checkpoints:lastCheckpointStart,Checkpoints:nCheckpoints,Checkpoints:nDeltaINFlush,Checkpoints:nFullBINFlush,Checkpoints:nFullINFlush,Cleaning:cleanerBackLog,Cleaning:fileDeletionBacklog,Cleaning:lastKnownUtilization,Cleaning:lnSizeCorrectionFactor,Cleaning:nBINDeltasCleaned,Cleaning:nBINDeltasDead,Cleaning:nBINDeltasMigrated,Cleaning:nBINDeltasObsolete,Cleaning:nCleanerDeletions,Cleaning:nCleanerEntriesRead,Cleaning:nCleanerProbeRuns,Cleaning:nCleanerRuns,Cleaning:nClusterLNsProcessed,Cleaning:nINsCleaned,Cleaning:nINsDead,Cleaning:nINsMigrated,Cleaning:nINsObsolete,Cleaning:nLNQueueHits,Cleaning:nLNsCleaned,Cleaning:nLNsDead,Cleaning:nLNsLocked,Cleaning:nLNsMarked,Cleaning:nLNsMigrated,Cleaning:nLNsObsolete,Cleaning:nMarkLNsProcessed,Cleaning:nPendingLNsLocked,Cleaning:nPendingLNsProcessed,Cleaning:nRepeatIteratorReads,Cleaning:nToBeCleanedLNsProcessed,Cleaning:pendingLNQueueSize,Cleaning:totalLogSize,Environment:btreeRelatchesRequired,Environment:environmentCreationTime,I/O:bufferBytes,I/O:endOfLog,I/O:nBytesReadFromWriteQueue,I/O:nBytesWrittenFromWriteQueue,I/O:nCacheMiss,I/O:nFSyncRequests,I/O:nFSyncTime,I/O:nFSyncs,I/O:nFileOpens,I/O:nGroupCommitRequests,I/O:nGroupCommitWaits,I/O:nGrpCommitTimeouts,I/O:nLogBuffers,I/O:nLogFSyncs,I/O:nLogIntervalExceeded,I/O:nLogMaxGroupCommitThreshold,I/O:nNoFreeBuffer,I/O:nNotResident,I/O:nOpenFiles,I/O:nRandomReadBytes,I/O:nRandomReads,I/O:nRandomWriteBytes,I/O:nRandomWrites,I/O:nReadsFromWriteQueue,I/O:nRepeatFaultReads,I/O:nSequentialReadBytes,I/O:nSequentialReads,I/O:nSequentialWriteBytes,I/O:nSequentialWrites,I/O:nTempBufferWrites,I/O:nWriteQueueOverflow,I/O:nWriteQueueOverflowFailures,I/O:nWritesFromWriteQueue,Jvm:PS MarkSweep.count,Jvm:PS MarkSweep.time,Jvm:PS Scavenge.count,Jvm:PS Scavenge.time,Jvm:heap,Jvm:loadAverage,Locks:nLatchAcquireNoWaitUnsuccessful,Locks:nLatchAcquiresNoWaitSuccessful,Locks:nLatchAcquiresNoWaiters,Locks:nLatchAcquiresSelfOwned,Locks:nLatchAcquiresWithContention,Locks:nLatchReleases,Locks:nRequests,Locks:nWaits,Node Compression:cursorsBins,Node Compression:dbClosedBins,Node Compression:inCompQueueSize,Node Compression:nonEmptyBins,Node Compression:processedBins,Node Compression:splitBins,Op:cursorDelete,Op:cursorGetCurrent,Op:cursorGetFirst,Op:cursorGetLast,Op:cursorGetNext,Op:cursorGetNextDup,Op:cursorGetNextNoDup,Op:cursorGetPrev,Op:cursorGetPrevDup,Op:cursorGetPrevNoDup,Op:cursorPut,Op:cursorPutCurrent,Op:cursorPutNoDupData,Op:cursorPutNoOverwrite,Op:dbDelete,Op:dbGet,Op:dbGetSearchBoth,Op:dbPut,Op:dbPutNoDupData,Op:dbPutNoOverWrite,Op:dbRemoveSequence,Op:dosCursorGetNext,Op:secondaryCursorDelete,Op:secondaryCursorGetCurrent,Op:secondaryCursorGetFirst,Op:secondaryCursorGetLast,Op:secondaryCursorGetNext,Op:secondaryCursorGetNextDup,Op:secondaryCursorGetNextNoDup,Op:secondaryCursorGetPrev,Op:secondaryCursorGetPrevDup,Op:secondaryCursorGetPrevNoDup,Op:secondaryDbDelete,Op:secondaryDbGet,Op:secondaryDbGetSearchBoth
2014-07-19 06:48:17.735 UTC,125,0,0,0,0,0,3157117,696,11264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,945,1,369,369,1,0,2,4,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752497364,3145728,0,0,0,0,2,104,2,2,2,0,0,3,3,0,0,0,0,0,0,0,38,1,0,0,2048,1,956,2,0,0,0,0,0,0,0,0,21168992,-1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:48:20.912 UTC,6773,0,0,0,0,0,19901845,1624,16749344,0,0,0,0,0,0,0,67259,0,0,0,0,0,0,0,0,0,577,10,0,2,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,30430,0,0,0,945,1,369,369,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752497364,3145728,0,0,0,0,0,174,0,4,0,0,0,3,1,0,0,0,0,0,0,0,38,1,0,0,6144,3,14190558,14,0,0,0,0,1,114,9,79,189238696,-1,0,0,0,0,0,0,66121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:48:25.679 UTC,250,0,0,0,0,0,3161362,2016,15384,0,0,0,0,0,0,0,23,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,17,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299771147,2,0,4299757039,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752505382,3145728,0,0,0,15,0,0,0,3,0,0,0,3,0,0,0,0,15,0,10240,5,0,0,0,0,4933632,576,0,0,0,0,0,0,0,0,0,0,31580840,-1,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:48:52.200 UTC,250,0,0,0,0,0,4436194,2248,1290216,0,5,0,0,0,0,0,632,229,0,0,0,0,0,0,0,0,228,11,0,61,87,144,1521,193,0,0,0,0,0,0,0,0,0,0,0,144,4,0,0,4299771147,2,0,4299757039,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752505382,3145728,0,0,0,429,0,0,0,2,0,0,0,3,0,0,0,0,429,2,585728,286,0,0,0,184,813023,329,0,0,0,0,0,0,0,0,2,22,46385776,-1,0,0,0,0,0,0,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,562,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:48:56.024 UTC,250,0,0,0,0,0,3158474,1240,12496,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752535726,3145728,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,13,0,10240,5,0,0,0,0,4880384,568,0,0,0,0,0,0,0,0,0,0,31931632,-1,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:49:09.696 UTC,250,0,0,0,0,0,4436250,2248,1290272,0,5,0,0,0,0,0,758,230,0,0,0,0,0,0,0,0,228,11,0,61,87,144,1523,197,0,0,0,0,0,0,0,0,0,0,0,144,4,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752535726,3145728,0,0,0,435,0,0,0,2,0,0,0,3,0,0,0,0,435,2,587776,287,0,0,0,184,823263,334,0,0,0,0,0,0,0,0,2,23,38583976,-1,0,0,0,0,0,0,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:49:51.138 UTC,250,0,0,0,0,0,3158474,1240,12496,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752590810,3145728,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,13,0,10240,5,0,0,0,0,4880384,568,0,0,0,0,0,0,0,0,0,0,27102408,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:50:14.546 UTC,250,0,0,0,0,0,3158554,1240,12496,80,0,0,0,0,0,0,18,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,14,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752614234,3145728,0,0,0,14,0,0,0,4,0,0,0,3,0,0,0,0,14,1,12288,6,0,0,0,0,4882432,569,0,0,0,0,0,0,0,0,0,0,27469264,-1,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:50:33.569 UTC,250,0,0,0,0,0,3162994,2248,17016,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,2,1,3,12,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752614234,3145728,0,0,0,6,0,0,0,1,0,0,0,3,0,0,0,0,6,2,8192,4,0,0,0,0,6144,3,0,0,0,0,0,0,0,0,1,7,37396608,-1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:50:51.758 UTC,250,0,0,0,0,0,3163442,2248,17016,448,0,0,0,0,0,0,27,3,0,0,0,0,0,0,3,0,3,3,0,2,1,3,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752651416,3145728,0,0,0,20,0,0,0,5,0,0,0,3,0,0,0,0,20,2,20480,10,0,0,0,0,4888576,572,0,0,0,0,0,0,0,0,0,0,26985720,-1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:51:51.763 UTC,250,0,0,0,0,0,10222922,2248,7076496,448,7,0,0,0,0,0,64347,578,0,0,0,0,0,0,0,0,574,11,0,189,2,12,80274,9936,0,0,0,0,0,0,0,0,0,0,0,14025,4,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752651416,3145728,0,0,0,10522,0,0,0,0,0,0,0,3,0,0,0,0,10522,2,19249152,9399,0,0,0,702,4242761,1825,0,0,0,0,0,0,0,0,76,204,406331040,-1,0,0,0,0,0,0,19872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:52:03.487 UTC,250,0,0,0,0,0,10222474,2248,7076496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,574,11,0,189,2,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752651416,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,412035024,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:52:05.529 UTC,250,0,0,0,0,0,3158554,1240,12496,80,0,0,0,0,0,0,18,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752725183,3145728,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,13,0,10240,5,0,0,0,0,4880384,568,0,0,0,0,0,0,0,0,0,0,27656936,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:52:09.496 UTC,250,0,0,0,0,0,3162994,2248,17016,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,3,3,0,2,1,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752725183,3145728,0,0,0,7,0,0,0,2,0,0,0,3,0,0,0,0,7,2,10240,5,0,0,0,0,8192,4,0,0,0,0,0,0,0,0,1,7,36441912,-1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:52:21.894 UTC,250,0,0,0,0,0,3163442,2248,17016,448,0,0,0,0,0,0,27,3,0,0,0,0,0,0,3,0,3,3,0,2,1,3,26,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752741570,3145728,0,0,0,20,0,0,0,5,0,0,0,3,0,0,0,0,20,2,20480,10,0,0,0,0,4888576,572,0,0,0,0,0,0,0,0,0,0,25927240,-1,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:53:21.899 UTC,250,0,0,0,0,0,4436698,2248,1290272,448,5,0,0,0,0,0,748,230,0,0,0,0,0,0,0,0,228,11,0,61,87,144,1510,190,0,0,0,0,0,0,0,0,0,0,0,144,4,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752741570,3145728,0,0,0,428,0,0,0,0,0,0,0,3,0,0,0,0,428,2,577536,282,0,0,0,184,815071,330,0,0,0,0,0,0,0,0,2,26,43518680,-1,0,0,0,0,0,0,380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:53:26.624 UTC,250,0,0,0,0,0,4436250,2248,1290272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,11,0,61,87,144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752741570,3145728,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44059480,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:54:03.511 UTC,250,0,0,0,0,0,3158474,1240,12496,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752843199,3145728,0,0,0,13,0,0,0,3,0,0,0,3,0,0,0,0,13,0,10240,5,0,0,0,0,4880384,568,0,0,0,0,0,0,0,0,0,0,26957568,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:54:12.577 UTC,250,0,0,0,0,0,3162994,2248,17016,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,3,3,0,2,1,3,13,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1405752843199,3145728,0,0,0,7,0,0,0,2,0,0,0,3,0,0,0,0,7,2,10240,5,0,0,0,0,8192,4,0,0,0,0,0,0,0,0,1,7,35894736,-1,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-07-19 06:54:22.522 UTC,250,0,0,0,0,0,3158554,1240,12496,80,0,0,0,0,0,0,18,3,0,0,0,0,0,0,3,0,3,3,0,2,1,5,13,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4299772128,3,0,4299771455,0,0,0,0,0,0,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1405752862211,3145728,0,0,0,14,0,0,0,4,0,0,0,3,0,0,0,0,14,1,10240,5,0,0,0,0,4880384,568,0,0,0,0,0,0,0,0,0,0,27542744,-1,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
